Year,Type of Crime,Date,Time,Latitude,Longitude,Location,Arrest
2017,DECEPTIVE PRACTICE,2/10/2018,3:50:00 PM,41.93621113,-87.65796283,RESIDENCE,FALSE
2017,THEFT,2/10/2018,3:50:00 PM,41.91115121,-87.63598179,ATHLETIC CLUB,FALSE
2017,ROBBERY,2/10/2018,3:50:00 PM,41.72701197,-87.57303648,ALLEY,TRUE
2017,CRIMINAL DAMAGE,2/10/2018,3:50:00 PM,41.7627632,-87.62163177,RESIDENCE PORCH/HALLWAY,FALSE
2017,THEFT,2/10/2018,3:50:00 PM,41.89620326,-87.71755678,RESIDENCE PORCH/HALLWAY,FALSE
2017,NARCOTICS,2/10/2018,3:50:00 PM,41.82169024,-87.69083261,APARTMENT,TRUE
2017,OTHER OFFENSE,2/10/2018,3:50:00 PM,41.89909631,-87.75570072,RESIDENCE,FALSE
2017,CRIMINAL DAMAGE,2/10/2018,3:50:00 PM,41.80146082,-87.65434043,STREET,FALSE
2017,CRIMINAL TRESPASS,2/10/2018,3:50:00 PM,41.96542634,-87.65522754,RESTAURANT,FALSE
2017,BURGLARY,2/10/2018,3:50:00 PM,41.65457668,-87.5435136,RESIDENCE,FALSE
2017,DECEPTIVE PRACTICE,2/10/2018,3:50:00 PM,41.88065311,-87.63439665,RESTAURANT,FALSE
2017,THEFT,2/10/2018,3:50:00 PM,41.90884995,-87.64664598,GROCERY FOOD STORE,TRUE
2017,BATTERY,2/10/2018,3:50:00 PM,41.87513075,-87.73637151,STREET,TRUE
2017,THEFT,2/10/2018,3:50:00 PM,41.91091418,-87.64857834,OTHER,FALSE
2017,ASSAULT,2/10/2018,3:50:00 PM,41.65732147,-87.60638511,"SCHOOL, PUBLIC, BUILDING",TRUE
2017,THEFT,2/10/2018,3:50:00 PM,41.91895164,-87.67766282,RESIDENCE-GARAGE,FALSE
2017,BATTERY,2/10/2018,3:50:00 PM,41.78993119,-87.66448019,STREET,FALSE
2017,THEFT,2/10/2018,3:50:00 PM,41.79956218,-87.58758291,SMALL RETAIL STORE,TRUE
2017,THEFT,2/10/2018,3:50:00 PM,41.85384608,-87.71506347,PARKING LOT/GARAGE(NON.RESID.),FALSE
2017,ASSAULT,2/10/2018,3:50:00 PM,41.80191408,-87.59823574,RESIDENCE,FALSE
2017,BATTERY,2/10/2018,3:50:00 PM,41.74342539,-87.73498406,RESIDENCE,FALSE
2017,OTHER OFFENSE,2/10/2018,3:50:00 PM,41.87749574,-87.76051092,RESIDENCE,FALSE
2017,NARCOTICS,2/10/2018,3:50:00 PM,41.88191785,-87.73648093,RESIDENTIAL YARD (FRONT/BACK),TRUE
2017,CRIMINAL DAMAGE,2/10/2018,3:50:00 PM,41.95946513,-87.69284032,RESIDENCE,FALSE
2017,OTHER OFFENSE,2/10/2018,3:50:00 PM,41.86566315,-87.69258794,RESIDENCE,FALSE
2017,THEFT,2/10/2018,3:50:00 PM,41.87256902,-87.62595547,PARKING LOT/GARAGE(NON.RESID.),FALSE
2017,DECEPTIVE PRACTICE,2/10/2018,3:50:00 PM,41.69902045,-87.62687197,RESIDENCE,FALSE
2017,ASSAULT,2/10/2018,3:50:00 PM,41.77886851,-87.67389658,GAS STATION,FALSE
2017,ASSAULT,2/10/2018,3:50:00 PM,41.87814479,-87.63123304,RESTAURANT,FALSE
2017,THEFT,2/10/2018,3:50:00 PM,41.89789513,-87.62409661,DEPARTMENT STORE,FALSE
2017,THEFT,2/10/2018,3:50:00 PM,41.94000587,-87.64769013,PARKING LOT/GARAGE(NON.RESID.),FALSE
2017,NARCOTICS,2/10/2018,3:50:00 PM,41.86830059,-87.69905267,SIDEWALK,TRUE
2017,OTHER OFFENSE,2/10/2018,3:50:00 PM,41.72428184,-87.65789004,RESIDENCE,FALSE
